Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Northern,2015,Group A Streptococcal Disease Invasive -> Severe,4,2.7
Eastern,2015,Group A Streptococcal Disease Invasive -> Severe,2,1.3
Central,2015,Group A Streptococcal Disease Invasive -> Severe,3,0.7
Nova Scotia,2015,Group A Streptococcal Disease Invasive -> Severe,10,1.1
Western,2015,Group B Streptococcal Disease of the Newborn,0,0
Northern,2015,Group B Streptococcal Disease of the Newborn,0,0
Eastern,2015,Group B Streptococcal Disease of the Newborn,1,0.6
Central,2015,Group B Streptococcal Disease of the Newborn,2,0.5
Nova Scotia,2015,Group B Streptococcal Disease of the Newborn,3,0.3
Western,2015,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2015,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2015,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2015,Haemophilus influenzae Type b Invasive Disease,0,0
Nova Scotia,2015,Haemophilus influenzae Type b Invasive Disease,0,0
Western,2015,Hantavirus Pulmonary Syndrome,0,0
Northern,2015,Hantavirus Pulmonary Syndrome,0,0
Eastern,2015,Hantavirus Pulmonary Syndrome,0,0
Central,2015,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2015,Hantavirus Pulmonary Syndrome,0,0
Western,2015,Hepatitis A,0,0
Northern,2015,Hepatitis A,0,0
Eastern,2015,Hepatitis A,0,0
Central,2015,Hepatitis A,1,0.2
Nova Scotia,2015,Hepatitis A,1,0.1
Western,2015,Hepatitis B - Acute,1,0.5
Northern,2015,Hepatitis B - Acute,3,2
Eastern,2015,Hepatitis B - Acute,0,0
Central,2015,Hepatitis B - Acute,5,1.1
Nova Scotia,2015,Hepatitis B - Acute,9,1
Western,2015,Hepatitis B - Chronic,1,0.5
Northern,2015,Hepatitis B - Chronic,2,1.3
Eastern,2015,Hepatitis B - Chronic,0,0
Central,2015,Hepatitis B - Chronic,6,1.4
Nova Scotia,2015,Hepatitis B - Chronic,9,1
Western,2015,Hepatitis B - Chronic or Unspecified,0,0
Northern,2015,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2015,Hepatitis B - Chronic or Unspecified,0,0
Central,2015,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2015,Hepatitis B - Chronic or Unspecified,0,0
Western,2015,Hepatitis C,52,26.6
Northern,2015,Hepatitis C,75,50.3
Eastern,2015,Hepatitis C,122,76.7
Central,2015,Hepatitis C,108,23.5
Nova Scotia,2015,Hepatitis C,357,37.9
Western,2015,Hepatitis E,0,0
Northern,2015,Hepatitis E,0,0
Eastern,2015,Hepatitis E,0,0
Central,2015,Hepatitis E,0,0
Nova Scotia,2015,Hepatitis E,0,0
Western,2015,Human Immunodeficiency Virus,0,0
Northern,2015,Human Immunodeficiency Virus,0,0
Eastern,2015,Human Immunodeficiency Virus,0,0
Central,2015,Human Immunodeficiency Virus,12,2.7
Nova Scotia,2015,Human Immunodeficiency Virus,17,1.8
Western,2015,Influenza,146,74.6
Northern,2015,Influenza,75,50.3
Eastern,2015,Influenza,143,89.9
Central,2015,Influenza,354,80.6
Nova Scotia,2015,Influenza,718,76.1
Western,2015,Legionellosis,0,0
Northern,2015,Legionellosis,0,0
Eastern,2015,Legionellosis,0,0
Central,2015,Legionellosis,7,1.6
Nova Scotia,2015,Legionellosis,7,0.7
Western,2015,Leprosy,0,0
Northern,2015,Leprosy,0,0
Eastern,2015,Leprosy,0,0
Central,2015,Leprosy,0,0
Nova Scotia,2015,Leprosy,0,0
Western,2015,Listeriosis - Invasive,3,1.5
Northern,2015,Listeriosis - Invasive,0,0
Eastern,2015,Listeriosis - Invasive,1,0.6
Central,2015,Listeriosis - Invasive,4,0.9
Nova Scotia,2015,Listeriosis - Invasive,8,0.8
Western,2015,Lyme Disease - Confirmed,103,52.6
Northern,2015,Lyme Disease - Confirmed,4,2.7
