Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,8.7,8.03,9.52,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,10.1,9.38,10.86,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,11.0,10.30,11.70,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,11.7,11.02,12.46,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,11.9,11.20,12.60,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,11.3,10.59,12.05,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,10.8,10.15,11.54,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Calgary Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,11.2,10.46,11.89,Yes,Above average performance,No change,Not a top result,Between 95% and 99.8% CIs,–,–,–,–,–,–,–,–,–,–,–,967.9
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,12.0,10.89,13.16,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,10.3,9.27,11.50,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,10.9,9.81,12.05,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,11.0,9.90,12.12,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,10.7,9.75,11.83,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,13.0,11.88,14.15,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,14.3,13.22,15.56,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.4,12.32,14.61,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,12.6,11.45,13.77,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Central Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,11.6,10.53,12.76,Yes,Above average performance,No change,Not a top result,Within the 95% CI,–,–,–,–,–,–,–,–,–,–,–,416.6
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,8.4,7.57,9.25,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,9.6,8.79,10.56,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,8.8,7.99,9.71,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,8.9,8.17,9.76,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,9.4,8.62,10.22,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,11.8,10.96,12.69,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,11.9,11.11,12.75,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,10.1,9.30,10.87,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,10.4,9.64,11.18,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Edmonton Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,11.4,10.65,12.10,Yes,Above average performance,Weakening,Not a top result,Between 95% and 99.8% CIs,–,–,–,–,–,–,–,–,–,–,–,961.2
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,11.4,10.28,12.73,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,12.0,10.88,13.30,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,11.4,10.22,12.63,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,10.8,9.74,12.06,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.4,11.19,13.73,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,11.3,10.12,12.60,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,10.7,9.46,12.13,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,12.2,10.90,13.73,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,10.8,9.45,12.30,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,North Zone (Alta.),–,–,–,Alberta,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,8.4,7.21,9.78,Yes,Above average performance,Improving,Not a top result,Outside 99.8% CI,–,–,–,–,–,–,–,–,–,–,–,236.0
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,18.8,15.89,22.07,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,16.0,13.37,19.06,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,10.8,8.25,14.04,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,13.9,11.28,16.99,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,14.1,11.51,17.10,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,16.7,13.92,19.82,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,18.5,16.03,21.24,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,18.3,15.70,21.14,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,17.1,14.63,19.76,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,East Kootenay HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.1,9.48,15.19,No,Same as average performance,Improving,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,12.2,9.50,15.48,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,14.3,11.46,17.72,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,9.6,7.32,12.56,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,12.5,9.91,15.76,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,13.9,11.17,17.28,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,12.4,9.85,15.51,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,16.6,13.61,20.19,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,15.4,12.46,18.79,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.6,10.94,16.85,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Kootenay–Boundary HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,15.2,12.33,18.52,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,13.8,12.63,15.05,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,15.1,13.92,16.34,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,12.7,11.57,13.90,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,13.5,12.37,14.69,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.8,11.69,13.89,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,15.5,14.33,16.67,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,16.6,15.52,17.77,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,15.3,14.15,16.44,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.8,12.75,14.94,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Okanagan HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.9,11.79,14.05,No,Same as average performance,Improving,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,12.5,11.02,14.20,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,13.4,11.84,15.14,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,15.1,13.63,16.75,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,13.0,11.54,14.58,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,13.8,12.33,15.43,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,15.1,13.57,16.83,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,12.9,11.46,14.58,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,14.2,12.68,15.94,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.6,12.06,15.20,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Thompson/Cariboo HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,13.2,11.69,14.93,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,11.9,10.59,13.41,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,12.8,11.49,14.31,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,15.2,13.81,16.81,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,13.6,12.22,15.06,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,15.1,13.72,16.69,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,15.9,14.46,17.41,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,13.3,12.05,14.70,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,15.1,13.72,16.67,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.7,12.37,15.25,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser East HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.8,11.44,14.25,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,12.2,11.08,13.37,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,13.0,11.85,14.29,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,11.8,10.63,12.98,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,12.5,11.33,13.76,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,14.4,13.15,15.69,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,14.7,13.46,16.00,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,14.0,12.86,15.27,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.5,12.28,14.74,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.8,12.64,15.15,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser North HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,12.5,11.34,13.75,No,Same as average performance,No change,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,13.2,12.12,14.26,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,13.1,12.11,14.25,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,12.2,11.21,13.32,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,14.1,13.04,15.22,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.1,11.10,13.16,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,15.4,14.31,16.59,Yes,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Health region,Fraser South HSDA (B.C.),–,–,–,British Columbia,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,14.2,13.11,15.30,No,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
