Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,13.4,13.01,13.81,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,13.3,12.86,13.73,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q5 (highest income),13.2,12.74,13.67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,13.9,–,–,–,–,–,–,–,"25,986","187,126",–,1.1,1.05,1.14,Yes,3.5,0.42,6.40,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,8.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,16.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,13.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,13.6,–,–,–,–,–,–,–,–,–
