Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,678,"Per 100,000",630,729,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,565,"Per 100,000",520,615,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,665,"Per 100,000",618,717,-,-,-,-,-,-,"October 15, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,464,"Per 100,000",425,508,-,-,-,-,-,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,464,"Per 100,000",429,503,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,301,"Per 100,000",290,312,-,-,-,-,-,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,301,"Per 100,000",273,332,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,301,"Per 100,000",281,324,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,301,"Per 100,000",280,323,-,-,-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,301,"Per 100,000",290,313,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,383,"Per 100,000",362,405,-,"268,519",-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,383,"Per 100,000",368,398,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,285,"Per 100,000",277,293,-,-,-,3.5,43.8,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,285,"Per 100,000",272,297,-,-,-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,334,"Per 100,000",329,339,-,-,-,-,-,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,334,"Per 100,000",314,355,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,334,"Per 100,000",313,356,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,334,"Per 100,000",321,347,-,-,-,-,-,-,"October 15, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,486,"Per 100,000",464,510,-,-,-,-,-,-,"October 15, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,486,"Per 100,000",463,510,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,486,"Per 100,000",460,515,-,-,-,-,-,-,"October 15, 2025"
Northwest Territories,Northwest Territories,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,553,"Per 100,000",494,620,-,-,-,-,-,-,"October 15, 2025"
