Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,311,"Per 100,000",280,345,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,311,"Per 100,000",302,319,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,311,"Per 100,000",279,349,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,296,"Per 100,000",285,307,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,296,"Per 100,000",283,310,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,296,"Per 100,000",271,323,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,296,"Per 100,000",284,309,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,296,"Per 100,000",290,302,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,296,"Per 100,000",290,302,-,"3,030,147",-,-,-,-,"October 15, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,296,"Per 100,000",285,308,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,302,"Per 100,000",289,316,-,-,-,-,-,-,"October 15, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,302,"Per 100,000",271,338,-,-,-,-,-,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,302,"Per 100,000",279,328,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,302,"Per 100,000",291,314,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,302,"Per 100,000",297,307,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,272,"Per 100,000",259,286,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,272,"Per 100,000",267,278,-,-,-,-,-,-,"October 15, 2025"
Fraser North HSDA (B.C.),British Columbia,Fraser North HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,272,"Per 100,000",261,284,-,-,-,-,-,-,"October 15, 2025"
Fraser North HSDA (B.C.),British Columbia,Fraser North HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,272,"Per 100,000",260,283,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,272,"Per 100,000",248,298,-,"130,334",-,-,-,-,"October 15, 2025"
Vancouver Coastal Health (B.C.),British Columbia,Vancouver Coastal Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,272,"Per 100,000",263,281,-,-,-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,262,"Per 100,000",254,270,-,-,-,3.9,48.6,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,262,"Per 100,000",250,275,-,-,-,-,-,-,"October 15, 2025"
Fraser North HSDA (B.C.),British Columbia,Fraser North HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,262,"Per 100,000",251,273,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,262,"Per 100,000",239,288,-,-,-,-,-,-,"October 15, 2025"
Montérégie Region (Que.),Quebec,Montérégie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,262,"Per 100,000",255,270,-,"1,353,769",-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,262,"Per 100,000",253,271,-,-,-,-,-,-,"October 15, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,262,"Per 100,000",251,274,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,262,"Per 100,000",246,280,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,260,"Per 100,000",248,273,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,260,"Per 100,000",255,265,-,-,-,-,-,-,"October 15, 2025"
South Vancouver Island HSDA (B.C.),British Columbia,South Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,260,"Per 100,000",246,275,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,156,"Per 100,000",146,167,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,194,"Per 100,000",184,206,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,228,"Per 100,000",216,240,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,237,"Per 100,000",225,249,-,"402,352",-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,518,"Per 100,000",506,531,-,-,-,2.6,34.1,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,518,"Per 100,000",505,530,-,-,-,2.6,33.2,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,518,"Per 100,000",481,560,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,518,"Per 100,000",479,561,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,518,"Per 100,000",501,535,-,"561,694",-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,457,"Per 100,000",422,496,-,-,-,-,-,-,"October 15, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,457,"Per 100,000",420,499,-,-,-,-,-,-,"October 15, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,457,"Per 100,000",413,505,-,-,-,-,-,-,"October 15, 2025"
Yukon,Yukon,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,543,"Per 100,000",484,612,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,543,"Per 100,000",504,587,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,591,"Per 100,000",548,639,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,591,"Per 100,000",556,627,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,507,"Per 100,000",470,548,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,536,"Per 100,000",495,581,-,-,-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,351,"Per 100,000",347,354,-,-,-,2.5,36.1,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,351,"Per 100,000",317,390,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,351,"Per 100,000",333,369,-,-,-,-,-,-,"October 15, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,351,"Per 100,000",332,372,-,-,-,-,-,-,"October 15, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,351,"Per 100,000",323,382,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,351,"Per 100,000",329,375,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,351,"Per 100,000",332,370,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,382,"Per 100,000",349,419,-,"81,705",-,-,-,-,"October 15, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,382,"Per 100,000",366,398,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,382,"Per 100,000",367,397,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,382,"Per 100,000",357,409,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,382,"Per 100,000",377,388,-,-,-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,420,"Per 100,000",399,443,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,420,"Per 100,000",405,435,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,419,"Per 100,000",405,435,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,419,"Per 100,000",401,437,-,-,-,-,-,-,"October 15, 2025"
Saguenay–Lac-Saint-Jean Region (Que.),Quebec,Saguenay–Lac-Saint-Jean Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,419,"Per 100,000",399,441,-,-,-,-,-,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,288,"Per 100,000",270,309,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,288,"Per 100,000",277,299,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,288,"Per 100,000",276,302,-,-,-,-,-,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,321,"Per 100,000",318,324,-,-,-,2.9,40.6,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,321,"Per 100,000",302,342,-,-,-,-,-,-,"October 15, 2025"
"Leeds, Grenville and Lanark District Health Unit (Ont.)",Ontario,"Leeds, Grenville and Lanark District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,321,"Per 100,000",299,346,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,321,"Per 100,000",307,335,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,377,"Per 100,000",361,394,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,377,"Per 100,000",363,392,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,317,"Per 100,000",312,322,-,-,-,3.1,41.7,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,317,"Per 100,000",310,324,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,320,"Per 100,000",315,325,-,-,-,2.9,39.2,-,"October 15, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,320,"Per 100,000",309,331,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,320,"Per 100,000",314,328,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,216,"Per 100,000",207,226,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,216,"Per 100,000",211,222,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,243,"Per 100,000",237,249,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,243,"Per 100,000",230,256,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,270,"Per 100,000",263,276,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,774,"Per 100,000",676,889,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,691,"Per 100,000",598,804,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,691,"Per 100,000",643,744,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,695,"Per 100,000",595,817,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,631,"Per 100,000",546,736,-,-,-,-,-,-,"October 15, 2025"
Algoma Public Health (Ont.),Ontario,Algoma Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,437,"Per 100,000",403,475,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,437,"Per 100,000",410,466,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,437,"Per 100,000",423,452,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,437,"Per 100,000",362,532,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,437,"Per 100,000",420,455,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,436,"Per 100,000",408,466,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,436,"Per 100,000",370,519,-,-,-,-,-,-,"October 15, 2025"
South East Zone (Sask.),Saskatchewan,South East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,436,"Per 100,000",408,466,-,-,-,-,-,-,"October 15, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,474,"Per 100,000",394,573,-,"12,520",-,-,-,-,"October 15, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,474,"Per 100,000",444,506,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,474,"Per 100,000",447,503,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,252,"Per 100,000",241,264,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,252,"Per 100,000",246,259,-,"2,059,104",-,-,-,-,"October 15, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,252,"Per 100,000",242,261,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,357,"Per 100,000",343,371,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,357,"Per 100,000",345,370,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,357,"Per 100,000",341,373,-,-,-,-,-,-,"October 15, 2025"
Montérégie Region (Que.),Quebec,Montérégie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,357,"Per 100,000",348,365,-,-,-,-,-,-,"October 15, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,357,"Per 100,000",336,379,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,357,"Per 100,000",352,363,-,-,-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,366,"Per 100,000",362,369,-,-,-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,366,"Per 100,000",362,369,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,366,"Per 100,000",359,372,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,366,"Per 100,000",352,381,-,-,-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,366,"Per 100,000",348,385,-,-,-,-,-,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,366,"Per 100,000",336,400,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,366,"Per 100,000",345,390,-,-,-,-,-,-,"October 15, 2025"
Calgary Zone (Alta.),Alberta,Calgary Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,257,"Per 100,000",250,265,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,257,"Per 100,000",245,270,-,-,-,-,-,-,"October 15, 2025"
Halton Region Health Department (Ont.),Ontario,Halton Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,257,"Per 100,000",245,270,-,-,-,-,-,-,"October 15, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,257,"Per 100,000",248,267,-,-,-,-,-,-,"October 15, 2025"
